timestamp,src_ip,dst_ip,dst_port
2024-01-01 09:59:00,10.0.0.5,142.250.190.46,443
2024-01-01 09:59:40,10.0.0.5,142.250.190.46,443
2024-01-01 10:00:20,10.0.0.5,142.250.190.46,443
2024-01-01 10:01:05,10.0.0.5,142.250.190.46,443
2024-01-01 10:01:55,10.0.0.5,142.250.190.46,443

2024-01-01 10:02:00,10.0.0.5,52.23.45.67,8443
2024-01-01 10:02:15,10.0.0.5,52.23.45.67,8443
2024-01-01 10:02:30,10.0.0.5,52.23.45.67,8443
2024-01-01 10:02:45,10.0.0.5,52.23.45.67,8443
2024-01-01 10:03:00,10.0.0.5,52.23.45.67,8443
2024-01-01 10:03:15,10.0.0.5,52.23.45.67,8443
2024-01-01 10:03:30,10.0.0.5,52.23.45.67,8443
